user_id,self_kindness,common_humanity,mindfulness,self_judgment,isolation,over_identification,scs_total_score
3208693225,10,12,13,19,15,14,65
3703403724,11,17,16,20,11,19,72
3470115511,6,6,9,25,16,13,45
3401031360,13,10,14,19,13,16,67
3661166007,13,11,11,20,11,12,70
3920921922,21,11,13,9,10,15,89
3335443937,12,13,12,19,16,15,65
3312571418,5,16,8,25,20,20,42
4389943231,10,14,12,19,17,16,62
3492366988,7,13,13,24,17,15,55
3382161024,12,11,17,18,15,13,72
3347892623,13,9,7,15,14,15,63
3427335142,17,7,9,7,6,5,93
3421843835,22,15,16,7,7,4,113
3802426721,11,14,9,24,16,18,54
3451263546,15,9,15,8,6,10,93
3911072456,15,12,16,12,11,6,92
3274685227,16,18,14,17,10,9,90
3913468055,13,9,14,20,14,17,63
3426894007,13,14,12,12,10,10,85
3317606566,5,4,6,25,20,18,30
3459300091,10,9,11,16,12,12,68
3396144039,13,17,14,19,13,14,76
3662879175,22,16,18,5,7,6,116
3318419640,20,16,13,17,12,15,83
3387752052,15,10,12,20,14,9,72
3716383664,17,13,14,19,16,13,74
3396105812,15,8,12,16,16,15,66
3479146532,22,18,18,7,5,4,120
3703103013,11,13,14,20,15,16,65
3349010634,21,12,20,9,4,8,110
3661375646,12,13,17,19,13,9,79
3401961300,17,19,15,20,13,14,82
3283564346,13,12,13,19,19,13,65
3483232737,13,8,10,18,15,14,62
3772765464,10,8,11,11,6,9,81
3456115892,16,14,15,20,14,18,71
3428976733,10,10,12,18,16,12,64
3394466675,11,10,8,15,16,14,62
3311032316,10,9,8,21,15,17,52
3478294460,8,15,6,19,13,10,65
3395963552,8,7,12,22,18,18,47
3333672280,8,11,11,22,16,18,52
3664548042,8,11,10,16,13,15,63
3282753348,16,14,15,18,12,15,78
3420200692,6,14,13,24,16,20,51
3397350077,22,16,15,10,7,7,107
3483195353,5,4,5,21,19,17,35
3336930797,11,7,11,24,19,18,46
3317545421,18,19,14,11,12,14,92
3467559184,16,14,11,18,15,12,74
3342177251,10,10,9,18,10,15,64
3334971564,16,13,13,18,15,17,70
3311919255,18,15,15,12,9,10,95
3489927284,16,16,14,14,11,14,85
3458983574,13,10,11,11,12,14,75
3337487200,19,9,16,5,4,5,108
3892305104,11,12,11,21,16,13,62
3341420106,9,12,9,24,17,17,50
3497763400,16,15,16,15,16,12,82
33783670400,11,11,11,17,12,12,70
3925461159,5,8,4,25,20,18,32
3401662999,15,11,10,17,16,13,68
3403943604,16,14,12,16,13,9,82
3806950650,9,12,9,15,10,9,74
3883746006,16,11,14,18,11,12,78
3473918493,18,11,13,15,13,14,78
3485956383,14,13,12,15,11,6,85
3401270582,17,9,16,9,6,7,98
3478840406,8,8,13,20,12,9,66
3920224683,9,10,9,21,16,13,56
3318067046,19,15,12,15,15,14,80
3387517461,21,17,13,12,9,10,98
3667272818,8,13,13,18,14,16,64
3339796982,13,11,14,19,15,12,70
3774219750,13,8,12,15,13,12,71
3402664341,11,11,14,22,10,12,70
3343693017,13,10,12,20,12,16,65
3427812776,10,13,7,24,13,15,56
3311514507,16,9,11,16,20,16,62
3663707404,10,12,8,20,14,14,60
3347117521,12,13,15,21,13,14,70
3314994466,12,10,13,17,12,10,74
3334542104,16,12,14,19,20,16,65
3452198846,14,11,12,10,10,7,88
3384230549,17,10,13,18,14,13,73
3935500366,16,11,14,15,9,8,87
3664904129,21,16,16,13,15,17,86
3333087407,15,16,13,17,10,11,84
3388833022,15,12,10,17,8,11,79
3486981778,15,12,11,16,12,12,76
3313224759,9,5,7,19,19,18,43
